Size,ACO Time
1,0.002562
2,0.010666
3,0.014815
4,0.024807
5,0.025409
6,0.033260
7,0.043286
8,0.066644
9,0.056603
10,0.066653
11,0.078885
12,0.086190
13,0.102037
14,0.104712
15,0.114764
16,0.182815
17,0.152277
18,0.150300
19,0.166921
20,0.181014
21,0.202339
22,0.210374
23,0.228520
24,0.231146
25,0.255963
26,0.266185
27,0.285236
28,0.296242
29,0.314765
30,0.357898
31,0.345263
32,0.470952
33,0.400815
34,0.410788
35,0.445626
36,0.445143
37,0.503721
38,0.560056
39,0.518530
40,0.550724
41,0.598120
42,0.598054
43,0.642329
44,0.666602
45,0.707307
46,0.716332
47,0.738394
48,0.788412
49,0.806206
50,0.814693
51,0.997992
52,1.161023
53,0.998076
54,0.999093
55,1.002084
56,0.987725
57,1.175526
58,1.144790
59,1.253701
60,1.385983
61,1.236545
62,1.234009
63,1.226565
64,1.794061
65,1.295743
66,1.333523
67,1.483539
68,1.577787
69,4.227863
70,3.503763
71,3.553489
72,3.625638
73,3.561022
74,5.706278
75,7.858156
76,7.994623
77,10.108797
78,8.007813
79,38.222851
80,37.453018
81,10.303080
82,10.278807
83,7.417089
84,7.556540
85,7.565972
86,7.712832
87,13.237866
88,13.130976
89,6.221621
90,4.849115
91,4.839126
92,4.914812
93,3.953610
94,6.548042
95,27.556881
96,28.971545
97,29.489962
98,27.229580
99,20.459389
100,19.410088
