Size,RNN Time
2,0.000023
4,0.000028
6,0.000064
8,0.000101
10,0.000071
12,0.000170
14,0.000288
16,0.000280
18,0.000396
20,0.000546
22,0.000562
24,0.000633
26,0.001107
28,0.001540
30,0.001487
32,0.001293
34,0.001643
36,0.001883
38,0.002760
40,0.002222
42,0.002586
44,0.003315
46,0.004122
48,0.003751
50,0.004583
52,0.006483
54,0.005468
56,0.007240
58,0.006955
60,0.008242
62,0.008076
64,0.010615
66,0.011620
68,0.011168
70,0.012016
72,0.012677
74,0.013890
76,0.015246
78,0.017454
80,0.018251
82,0.019626
84,0.021653
86,0.022303
88,0.026171
90,0.026138
92,0.027744
94,0.029228
96,0.031035
98,0.032725
100,0.034825
102,0.038293
104,0.042327
106,0.043396
108,0.045987
110,0.046912
112,0.050205
114,0.052853
116,0.054952
118,0.059641
120,0.059585
122,0.064263
124,0.066668
126,0.069345
128,0.072709
130,0.075211
132,0.077635
134,0.090293
136,0.085328
138,0.090152
140,0.094606
142,0.094296
144,0.101206
146,0.105645
148,0.107982
150,0.112067
152,0.128136
154,0.119133
156,0.136194
158,0.150814
160,0.132351
162,0.139280
164,0.145944
166,0.150884
168,0.152739
170,0.163117
172,0.166470
174,0.171653
176,0.174301
178,0.180624
180,0.189357
182,0.193095
184,0.197463
186,0.205071
188,0.208252
190,0.215337
192,0.228525
194,0.234817
196,0.242609
198,0.244430
200,0.255630
202,0.262347
204,0.265737
206,0.280494
208,0.282488
210,0.298868
212,0.303343
214,0.313251
216,0.320273
218,0.333688
220,0.338498
222,0.345820
224,0.351217
226,0.368649
228,0.374887
230,0.391132
232,0.392857
234,0.399917
236,0.420074
238,0.427768
240,0.437186
242,0.443125
244,0.456904
246,0.473540
248,0.471666
250,0.506197
252,0.513050
254,0.524543
256,0.523678
258,0.554633
260,0.546785
262,0.571022
264,0.596286
266,0.610826
268,0.621349
270,0.625756
272,0.638654
274,0.646948
276,0.677539
278,0.694378
280,0.705758
282,0.725964
284,0.721196
286,0.757421
288,0.768939
290,0.779739
292,0.816884
294,0.828613
296,0.819411
298,0.856477
300,0.877278
302,0.895731
304,0.922381
306,0.913372
308,0.947087
310,0.975839
312,0.994382
314,0.989346
316,1.045248
318,1.024716
320,1.047833
322,1.082983
324,1.092316
326,1.116864
328,1.155208
330,1.159497
332,1.199931
334,1.209021
336,1.211969
338,1.263045
340,1.285611
342,1.315161
344,1.301885
346,1.370237
348,1.468903
350,1.412167
352,1.424328
354,1.439519
356,1.458160
358,1.487979
360,1.515189
362,1.505547
364,1.533572
366,1.582899
368,1.595959
370,1.625317
372,1.662634
374,1.687500
376,1.701448
378,1.725999
380,1.760350
382,1.788194
384,1.831790
386,1.852888
388,1.882561
390,1.881464
392,1.895628
394,1.970479
396,1.976111
398,2.015611
400,2.048759
